시간,규모,진앙(km),위도,경도,위치
2013-08-01 17:22,3.1, ,36.19,126.17,충남 보령시 서남서쪽 43km 해역
2013-08-04 19:58,2.3, ,36.2,126.16,충남 보령시 서남서쪽 43km 해역
2013-08-07 21:08,2, ,36.19,126.08,충남 보령시 서남서쪽 51km 해역
2013-08-10 12:43,2.6, ,35.9,129.75,경북 포항시 남구 동남동쪽 37km 해역
2013-08-11 4:19,2.3, ,38.48,126.13,북한 황해북도 평산 북서쪽 28km 지역
2013-08-12 4:33,3.1, ,35.66,129.75,울산 동구 동북동쪽 35km 해역
2013-08-12 4:39,2.3, ,35.66,129.77,울산 동구 동북동쪽 36km 해역
2013-08-13 0:01,2.1, ,36.92,129.44,경북 울진군 남남동쪽 8km 해역
2013-08-13 0:36,3, ,36.91,129.44,경북 울진군 남남동쪽 10km 해역
2013-08-29 8:35,2.5, ,38.19,129.3,강원 강릉시 북동쪽 60km 해역
2013-09-11 13:00,4, ,33.56,125.39,전남 신안군 가거도 남남동쪽 60km 해역
2013-09-14 17:33,2.2, ,36.2,126.16,충남 보령시 서남서쪽 43km 해역
2013-09-15 13:16,2.3, ,36.55,129.23,경북 영양군 남동쪽 16km 지역
2013-10-10 13:08,2.6, ,35.36,128.23,경남 의령군 북서쪽 5km 지역
2013-10-11 16:06,3.6, ,36.46,129.61,경북 영덕군 동북동쪽 22km 해역
2013-10-19 0:16,2, ,35.96,128.06,경북 김천시 남쪽 20km 지역
2013-10-26 6:47,2.7, ,37.96,124.61,인천 백령도 서쪽 6km 해역
2013-11-08 19:14,2.6, ,36.23,126.36,충남 보령시 서남서쪽 25km 해역
2013-11-08 21:02,3, ,36.24,126.36,충남 보령시 서남서쪽 25km 해역
2013-11-10 16:28,2, ,37.66,124.67,인천 백령도 남쪽 33km 해역
2013-11-16 22:32,2.1, ,38.51,125.66,북한 황해북도 사리원 서쪽 9km 지역
2013-11-20 21:07,2.1, ,38.47,126.17,북한 황해북도 평산 북서쪽 25km 지역
2013-11-22 23:29,2.1, ,36.99,126.4,충남 서산시 북북서쪽 24km 지역
2013-11-26 2:26,2.1, ,37.12,128.11,충북 제천시 서남서쪽 10km 지역
2013-12-02 20:02,2.8, ,38.56,126.1,북한 황해북도 사리원 동북동쪽 30km 지역
2013-12-03 21:00,2.5, ,35.64,128.72,경북 청도군 서남서쪽 2km 지역
2013-12-04 6:28,2.4, ,38.71,125.69,북한 황해북도 송림 동남동쪽 6km 지역
2013-12-08 16:38,2.8, ,33.44,125.09,제주 제주시 고산 서쪽 101km 해역
2013-12-13 11:40,2.5, ,36.1,129.04,경북 영천시 북북동쪽 17km 지역
2013-12-19 12:38,2.9, ,38.11,127.11,경기 연천군 동북동쪽 3km 지역
2014-01-29 6:08,2.2, ,36.23,128.8,경북 의성군 남동쪽 16km 지역
2014-02-05 23:06,2.8, ,38.26,124.4,북한 황해남도 용연군 장산곶 서북서쪽 29km 해역
2014-02-21 21:17,2.7, ,35.05,127.75,전남 광양시 북북동쪽 13km 지역
2014-02-22 20:44,2.6, ,38.31,124.27,북한 황해남도 용연군 장산곶 서북서쪽 42km 해역
2014-02-28 3:20,2.4, ,38.74,125.01,북한 남포 서쪽 22km 해역
2014-03-11 11:39,2.7, ,35.86,128.47,대구 달성군 서북서쪽 9km 지역
2014-03-14 12:59,2.5, ,39.41,126.09,북한 평안남도 성천 북북서쪽 21km 지역
2014-03-28 10:40,3, ,36.47,127.93,경북 상주시 서북서쪽 22km 지역
2014-04-01 4:48,5.1, ,36.95,124.5,충남 태안군 서격렬비도 서북서쪽 100km 해역
2014-04-01 9:25,2.3, ,36.95,124.5,충남 태안군 서격렬비도 서북서쪽 100km 해역
2014-04-08 6:19,2.7, ,36.96,124.44,충남 태안군 서격렬비도 서북서쪽 105km 해역
2014-04-12 1:44,2.6, ,33.52,126.9,제주 제주시 동쪽 34km 지역
2014-04-13 14:02,2.9, ,36.93,124.52,충남 태안군 서격렬비도 서북서쪽 97km 해역
2014-04-25 12:14,2.9, ,35.97,128.04,경북 김천시 남남서쪽 19km 지역
2014-04-26 14:08,2.7, ,36.46,127.93,경북 상주시 서북서쪽 21km 지역
2014-05-15 8:46,3.4, ,33,126.21,제주 제주시 고산 남쪽 33km 해역
2014-06-05 13:29,2.3, ,35.97,128.62,대구 동구 북쪽 10km 지역
2014-06-08 4:05,2.6, ,33.52,125.96,제주 제주시 고산 북서쪽 31km 해역
2014-06-18 9:59,2.1, ,35.91,128.66,대구 동구 북쪽 4km 지역
2014-06-21 8:29,2.6, ,38.77,125.89,북한 황해북도 송림 동쪽 22km 지역
2014-07-03 21:57,3.5, ,35.66,129.76,울산 동구 동북동쪽 35km 해역
2014-07-03 22:04,2.6, ,35.66,129.82,울산 동구 동북동쪽 40km 해역
2014-07-04 0:11,2.5, ,35.65,129.81,울산 동구 동북동쪽 39km 해역
2014-07-04 4:13,2.9, ,35.66,129.78,울산 동구 동북동쪽 37km 해역
2014-07-04 6:27,2.2, ,34.51,125.41,전남 신안군 흑산면 남남서쪽 17km 해역
2014-08-02 1:32,2.2, ,37.4,127.2,경기 광주시 서남서쪽 5km 지역
2014-08-05 6:16,2.5, ,40.11,127.2,북한 함경남도 신흥 서북서쪽 20km 지역
2014-08-10 18:07,2.4, ,38.15,126.63,북한 개성 북북동쪽 21km 지역
2014-08-16 0:51,2.1, ,33.59,126.58,제주 제주시 북북동쪽 11km 해역
2014-08-18 5:13,2.1, ,36.57,125.64,충남 태안군서격렬비도 동남동쪽 10km 해역
2014-08-21 22:30,2.7, ,33.87,127.83,전남 여수시 거문도 동남동쪽 51km 해역
2014-09-09 0:24,2.2, ,35.68,129.38,경북 경주시 남동쪽 23km 지역
2014-09-23 15:27,3.5, ,35.8,129.41,경북 경주시 동남동쪽 18km 지역
2014-09-25 2:26,3.8, ,35.07,129.94,울산 동구 남동쪽 67km 해역
2014-09-28 21:32,3.2, ,37.24,126.44,인천 옹진군 남서쪽 30km 지역
2014-10-01 16:34,2.2, ,36.67,125.45,충남 태안군 서격렬비도 북서쪽 11km 해역
2014-10-07 1:57,2.9, ,33.3,125.96,제주 제주시 고산 서쪽 19km 해역
2014-10-11 22:11,2.3, ,37.73,129.43,강원 동해시 북동쪽 36km 해역
2014-10-19 19:57,2.6, ,36.44,128.19,경북 상주시 북동쪽 4km 지역
2014-10-20 21:15,2.2, ,33.68,125.88,제주 제주시 고산 북북서쪽 50km 해역
2014-10-21 6:33,2.3, ,35.21,129.49,부산 기장군 동쪽 24km 해역
2014-10-28 19:07,2.2, ,38,125.34,북한 황해남도 옹진 북북동쪽 8km 지역
2014-11-06 4:25,2.5, ,37.23,126.44,인천 옹진군 남남서쪽 30km 해역
2014-11-06 14:48,2.3, ,33.34,125.89,제주 제주시 고산 서북서쪽 26km 해역
2014-11-15 3:31,2.5, ,38.77,126.36,북한 황해북도 신계 북북서쪽 34km 지역
2014-12-08 5:28,3.3, ,34.75,127.17,전남 보성군 동남동쪽 8km 지역
2014-12-15 9:08,2.1, ,39.09,126.52,북한 평안남도 양덕 남서쪽 16km 지역
2014-12-24 20:33,2.1, ,35.89,127.33,전북 완주군 동쪽 15km 지역
2014-12-30 15:36,2.6, ,35.21,124.79,전남 신안군 흑산면 북서쪽 88km 해역
2015-01-06 13:06,2.8, ,38.43,126.28,북한 황해북도 평산 북서쪽 17km 지역
2015-01-08 20:15,3.5, ,37.51,125.63,인천 옹진군 연평도 남남서쪽 18km 해역
2015-01-31 5:10,2.2, ,36.6,129.45,경북 영덕군 북북동쪽 22km 해역
2015-02-03 19:54,2.1, ,33.61,127.57,전남 여수시 거문도 남남동쪽 52km 해역
2015-02-19 14:25,2.1, ,36.09,125.05,충남 태안군 서격렬비도 남서쪽 71km 해역
2015-02-23 4:54,2.7, ,32.96,126.25,제주 제주시 고산 남남동쪽 38km 해역
2015-03-10 13:10,2.7, ,37.36,125.15,인천 옹진군 연평도 남서쪽 59km 해역
2015-03-19 12:54,2.2, ,34.16,128.37,경남 통영시 욕지도 남남동쪽 54km 해역
2015-03-19 16:20,2.7, ,36.43,127.65,충북 옥천군 북북동쪽 16km 지역
2015-04-13 18:02,3.3, ,37.18,125.47,인천 옹진군 연평도 남남서쪽 58km 해역
2015-04-15 4:10,2.9, ,35.14,129.93,울산 동구 남동쪽 61km 해역
2015-04-21 2:05,2.1, ,35.88,129.75,경북 포항시 남구 동남동쪽 38km 해역
2015-04-24 10:14,2.3, ,35.88,129.69,경북 포항시 남구 동남동쪽 33km 해역
2015-06-02 1:01,2, ,36.76,129.98,경북 울진군 동남동쪽 57km 해역
2015-06-07 20:54,2.1, ,33.79,126.16,제주 제주시 북서쪽 48km 해역
2015-06-17 0:55,2.3, ,38.41,125.57,북한 황해남도 안악 남남동쪽 13km 지역
2015-06-22 12:02,2.6, ,35.85,125,충남 태안군 서격렬비도 남남서쪽 96km 해역
2015-06-22 12:44,2.4, ,36.35,127.24,충남 공주시 남동쪽 15km 지역
2015-07-04 8:49,2.1, ,36.32,128.18,경북 상주시 남쪽 10km 지역
2015-07-08 11:01,2, ,37.63,125.86,인천 옹진군 연평도 동남동쪽 14km 해역
2015-07-14 14:34,2.8, ,33.24,127.01,제주 서귀포시 성산 남동쪽 20km 해역
2015-07-18 21:15,2.3, ,36.07,128.08,경북 김천시 남남서쪽 7km 지역
2015-07-20 1:33,2.2, ,33.26,127.21,제주 서귀포시 성산 동남동쪽 34km 해역
2015-07-23 4:02,2.6, ,33.22,127.05,제주 서귀포시 성산 남동쪽 24km 해역
2015-07-30 9:39,2.2, ,35.15,127.98,경남 사천시 북서쪽 12km 지역
2015-08-01 23:58,2.2, ,35.32,127.45,전남 구례군 북쪽 13km 지역
2015-08-02 3:22,2.1, ,37.19,128.44,강원 영월군 서북서쪽 2km 지역
2015-08-03 10:11,3.7, ,33.26,127.06,제주 서귀포시 성산 남동쪽 22km 해역
2015-08-12 17:09,2.2, ,37.17,127.5,경기 이천시 남남동쪽 13km 지역
2015-08-17 16:56,2.5, ,37.2,125.38,인천 옹진군 연평도 남남서쪽 59km 해역
2015-08-23 9:19,2.5, ,36.38,129.77,경북 영덕군 동쪽 36km 해역
2015-09-01 13:47,2.5, ,39.09,126.53,북한 평안남도 양덕 남서쪽 16km 지역
2015-09-03 4:53,2.7, ,33.27,127.04,제주 서귀포시 성산 남동쪽 20km 해역
2015-09-18 10:12,2.1, ,34.7,128.75,경남 통영시 매물도 동북동쪽 17km 해역
2015-10-01 9:21,2.5, ,35.78,129.14,경북 경주시 남서쪽 9km 지역
2015-10-01 14:06,2.1, ,35.78,129.14,경북 경주시 남서쪽 9km 지역
2015-10-11 0:55,2.1, ,33.3,127.02,제주 서귀포시 성산 남동쪽 16km 해역
2015-10-26 23:29,2.1, ,34.09,126.85,전남 완도군 남남동쪽 26km 해역
2015-10-30 15:17,2.9, ,35.74,129.37,경북 경주시 남동쪽 18km 지역
2015-11-13 20:04,2.6, ,35.8,129.42,경북 경주시 동남동쪽 19km 지역
2015-11-24 11:27,3.2, ,35.67,129.82,울산 동구 동북동쪽 41km 해역
2015-11-24 14:10,2.4, ,35.69,129.75,울산 동구 북동쪽 36km 해역
2015-12-11 1:25,2.1, ,36.9,126.58,충남 당진시 서북서쪽 5km 지역
2015-12-22 4:31,3.9, ,36.02,126.95,전북 익산시 북쪽 8km 지역
2016-01-06 20:39,3, ,36.01,128.07,경북 김천시 남쪽 14km 지역
2016-01-23 7:14,2.4, ,38.42,126.25,북한 황해북도 평산군 북서쪽 16km 지역
2016-01-25 18:40,2.3, ,36.22,128.69,경북 의성군 남쪽 14km 지역
2016-01-31 3:03,2, ,36.95,129.92,경북 울진군 동쪽 46 km 해역
2016-02-11 5:57,3.1, ,36.21,127.48,충남 금산군 북쪽 12km 지역
2016-02-24 23:22,2.9, ,33.52,125.92,제주 제주시 고산 북서쪽 34km 해역
2016-02-26 18:46,2.2, ,33.23,127.19,제주 서귀포시 성산 동남동쪽 34km 해역
2016-02-28 16:52,2.5, ,38.73,125.85,북한 황해북도 송림시 동쪽 19km 지역
2016-03-02 14:04,2.7, ,36.35,127.2,충남 공주시 남동쪽 13km 지역
2016-03-05 11:11,3.3, ,35.61,129.82,울산 동구 동북동쪽 38km 해역
2016-03-14 5:17,3.1, ,38.71,125.87,북한 황해북도 송림시 동쪽 21km 지역
2016-03-15 3:00,2.7, ,36.31,128.21,경북 상주시 남남동쪽 12km 지역
2016-03-15 3:38,2.5, ,37.6,129.82,강원 삼척시 동북동쪽 60km 해역
2016-03-27 14:52,2.3, ,35.33,130.04,울산 동구 동남동쪽 59km 해역
2016-03-27 18:28,3.1, ,39.38,126.06,북한 평안남도 성천시 북서쪽 20km 지역
2016-03-28 14:34,2.9, ,35.22,127.96,경남 진주시 서북서쪽 12km 지역
2016-04-13 5:28,2.1, ,35.92,127.93,경북 김천시 남남서쪽 28km 지역
2016-04-21 15:53,2.7, ,33.52,125.92,제주 제주시 고산 북서쪽 34km 해역
2016-04-21 15:55,2.7, ,33.53,125.89,제주 제주시 고산 북서쪽 36km 해역
2016-04-25 11:42,2.3, ,33.51,125.91,제주 제주시 고산 북서쪽 34km 해역
2016-04-27 19:27,2.3, ,35.57,128.34,경남 합천군 동쪽 16km 지역
2016-04-28 10:16,2.4, ,35.42,128.56,경남 창녕군 남남동쪽 15km 지역
2016-04-30 22:46,2.6, ,37.75,125.4,북한 황해남도 옹진군 남쪽 20km 지역
2016-05-03 3:29,2.4, ,37.11,129.02,강원 태백시 남남동쪽 7km 지역
2016-05-22 1:22,3.5, ,40.68,127.15,북한 함경남도 장진군 북북서쪽 34km 지역
2016-05-24 4:52,2.3, ,33.61,125.56,제주 제주시 고산 서북서쪽 66km 해역
2016-06-03 4:53,3, ,36.39,127.92,경북 상주시 서쪽 22km 지역
2016-06-05 10:11,2.2, ,36,129.58,경북 포항시 남구 동쪽 20km 해역
2016-06-07 16:06,2.3, ,33.05,126.17,제주 제주시 고산 남쪽 27km 해역
2016-06-13 12:33,2.7, ,34.3,124.68,전남 신안군 흑산면 서남서쪽 82km 해역
2016-06-15 2:07,2.6, ,35.87,129.69,경북 포항시 남구 동남동쪽 33km 해역
